epoch,step,val_reconstruction_loss
0,10,0.053849682211875916
1,21,0.03634786978363991
2,32,0.02577470801770687
3,43,0.022681083530187607
4,54,0.021412981674075127
5,65,0.02025369554758072
6,76,0.020177673548460007
7,87,0.02020968496799469
8,98,0.02075302228331566
9,109,0.021197404712438583
