epoch,epoch_val_accuracy,step,test_accuracy,train_loss,val_accuracy,val_loss
0,0.6302083134651184,20,,,0.6302083134651184,1.1873736381530762
1,0.8020833134651184,41,,,0.8020833134651184,0.6469133496284485
2,,49,0.953125,0.29104918241500854,,
2,0.546875,62,,,0.546875,1.1911616325378418
3,0.7760416865348816,83,,,0.7760416865348816,0.5763421058654785
4,,99,0.984375,0.1401238888502121,,
4,0.8125,104,,,0.8125,0.46600380539894104
5,0.84375,125,,,0.84375,0.4887981414794922
6,0.875,146,,,0.875,0.29545900225639343
7,,149,1.0,0.061911989003419876,,
7,0.9114583134651184,167,,,0.9114583134651184,0.29875287413597107
8,0.9010416865348816,188,,,0.9010416865348816,0.332890123128891
9,,199,1.0,0.03461333364248276,,
9,0.890625,209,,,0.890625,0.35143598914146423
10,0.875,230,,,0.875,0.4010564386844635
11,,249,1.0,0.03201949968934059,,
11,0.9114583134651184,251,,,0.9114583134651184,0.2751349210739136
12,0.90625,272,,,0.90625,0.2471049576997757
13,0.9010416865348816,293,,,0.9010416865348816,0.2872507870197296
14,,299,1.0,0.028873756527900696,,
14,0.8958333134651184,314,,,0.8958333134651184,0.31872615218162537
15,0.8958333134651184,335,,,0.8958333134651184,0.39460837841033936
16,,349,1.0,0.018263820558786392,,
16,0.8854166865348816,356,,,0.8854166865348816,0.3726714551448822
17,0.90625,377,,,0.90625,0.32528814673423767
18,0.8958333134651184,398,,,0.8958333134651184,0.34379783272743225
19,,399,1.0,0.031262725591659546,,
19,0.8802083134651184,419,,,0.8802083134651184,0.3724207580089569
20,0.90625,440,,,0.90625,0.30543792247772217
21,,449,0.984375,0.050683245062828064,,
21,0.9010416865348816,461,,,0.9010416865348816,0.3265894055366516
22,0.890625,482,,,0.890625,0.3849206864833832
23,,499,1.0,0.018736258149147034,,
23,0.90625,503,,,0.90625,0.32598814368247986
24,0.90625,524,,,0.90625,0.31490668654441833
25,0.8958333134651184,545,,,0.8958333134651184,0.3254636228084564
26,,549,1.0,0.026107927784323692,,
26,0.9166666865348816,566,,,0.9166666865348816,0.27838248014450073
27,0.9010416865348816,587,,,0.9010416865348816,0.3499639332294464
28,,599,1.0,0.023305071517825127,,
28,0.9166666865348816,608,,,0.9166666865348816,0.3006116449832916
29,0.9114583134651184,629,,,0.9114583134651184,0.3141401708126068
30,,649,1.0,0.021160634234547615,,
30,0.890625,650,,,0.890625,0.3567858636379242
31,0.8958333134651184,671,,,0.8958333134651184,0.3148130476474762
32,0.9010416865348816,692,,,0.9010416865348816,0.29104098677635193
33,,699,1.0,0.01821589656174183,,
33,0.8958333134651184,713,,,0.8958333134651184,0.35831037163734436
34,0.90625,734,,,0.90625,0.31433162093162537
35,,749,1.0,0.04034833610057831,,
35,0.8802083134651184,755,,,0.8802083134651184,0.41395488381385803
36,0.890625,776,,,0.890625,0.3509993255138397
37,0.8854166865348816,797,,,0.8854166865348816,0.35162827372550964
38,,799,1.0,0.017523692920804024,,
38,0.9114583134651184,818,,,0.9114583134651184,0.29997578263282776
39,0.890625,839,,,0.890625,0.34721314907073975
40,,849,1.0,0.031256649643182755,,
40,0.921875,860,,,0.921875,0.31043142080307007
41,0.890625,881,,,0.890625,0.3796076476573944
42,,899,1.0,0.013304298743605614,,
42,0.9114583134651184,902,,,0.9114583134651184,0.26420459151268005
43,0.921875,923,,,0.921875,0.284531831741333
44,0.9010416865348816,944,,,0.9010416865348816,0.40336498618125916
45,,949,1.0,0.02580932527780533,,
45,0.9114583134651184,965,,,0.9114583134651184,0.27054563164711
46,0.8958333134651184,986,,,0.8958333134651184,0.3160230815410614
47,,999,1.0,0.020537244156003,,
47,0.9010416865348816,1007,,,0.9010416865348816,0.33445480465888977
48,0.8958333134651184,1028,,,0.8958333134651184,0.33061379194259644
49,,1049,1.0,0.012054702267050743,,
49,0.90625,1049,,,0.90625,0.385829895734787
50,0.9114583134651184,1070,,,0.9114583134651184,0.27682873606681824
51,0.8697916865348816,1091,,,0.8697916865348816,0.41046929359436035
52,,1099,1.0,0.028690218925476074,,
52,0.8958333134651184,1112,,,0.8958333134651184,0.37068045139312744
53,0.90625,1133,,,0.90625,0.36479559540748596
54,,1149,1.0,0.028388310223817825,,
54,0.9010416865348816,1154,,,0.9010416865348816,0.41880425810813904
55,0.8697916865348816,1175,,,0.8697916865348816,0.36763545870780945
56,0.8645833134651184,1196,,,0.8645833134651184,0.3871711790561676
57,,1199,1.0,0.021729012951254845,,
57,0.890625,1217,,,0.890625,0.39702367782592773
58,0.90625,1238,,,0.90625,0.38116368651390076
59,,1249,0.96875,0.06621264666318893,,
59,0.8697916865348816,1259,,,0.8697916865348816,0.3961055278778076
60,0.90625,1280,,,0.90625,0.3523428440093994
61,,1299,1.0,0.030394187197089195,,
61,0.8802083134651184,1301,,,0.8802083134651184,0.36808085441589355
62,0.8854166865348816,1322,,,0.8854166865348816,0.3505828380584717
63,0.9010416865348816,1343,,,0.9010416865348816,0.33433541655540466
64,,1349,1.0,0.029688773676753044,,
64,0.921875,1364,,,0.921875,0.33889222145080566
65,0.9010416865348816,1385,,,0.9010416865348816,0.3636162579059601
66,,1399,1.0,0.02205364964902401,,
66,0.8854166865348816,1406,,,0.8854166865348816,0.40822258591651917
67,0.9114583134651184,1427,,,0.9114583134651184,0.30264535546302795
68,0.8958333134651184,1448,,,0.8958333134651184,0.3776068687438965
69,,1449,0.984375,0.04292374476790428,,
69,0.8645833134651184,1469,,,0.8645833134651184,0.42298293113708496
70,0.9010416865348816,1490,,,0.9010416865348816,0.30712243914604187
