epoch,epoch_val_accuracy,epoch_val_loss,step,train_loss,val_accuracy,val_loss
28,0.6640625,1.1931689977645874,318,,0.6640625,1.1931689977645874
29,0.640625,1.215588092803955,329,,0.640625,1.215588092803955
30,0.5546875,1.2028728723526,340,,0.5546875,1.2028728723526
31,,,349,1.1071207523345947,,
31,0.34375,1.3802204132080078,351,,0.34375,1.3802204132080078
32,0.3984375,1.3387101888656616,362,,0.3984375,1.3387101888656616
33,0.5390625,1.2850183248519897,373,,0.5390625,1.2850183248519897
34,0.4765625,1.308885097503662,384,,0.4765625,1.308885097503662
35,0.4296875,1.3202751874923706,395,,0.4296875,1.3202751874923706
36,,,399,1.0115840435028076,,
36,0.625,1.1567107439041138,406,,0.625,1.1567107439041138
37,0.59375,1.203094244003296,417,,0.59375,1.203094244003296
38,0.59375,1.2471188306808472,428,,0.59375,1.2471188306808472
39,0.4765625,1.2643970251083374,439,,0.4765625,1.2643970251083374
40,,,449,1.01752507686615,,
40,0.6171875,1.2130779027938843,450,,0.6171875,1.2130779027938843
41,0.515625,1.347475290298462,461,,0.515625,1.347475290298462
42,0.5078125,1.293378472328186,472,,0.5078125,1.293378472328186
43,0.546875,1.202207326889038,483,,0.546875,1.202207326889038
44,0.484375,1.2811527252197266,494,,0.484375,1.2811527252197266
45,,,499,1.0120469331741333,,
45,0.578125,1.1884888410568237,505,,0.578125,1.1884888410568237
46,0.640625,1.1936454772949219,516,,0.640625,1.1936454772949219
47,0.6328125,1.1813619136810303,527,,0.6328125,1.1813619136810303
48,0.671875,1.1343433856964111,538,,0.671875,1.1343433856964111
49,,,549,0.9373475313186646,,
49,0.625,1.2065272331237793,549,,0.625,1.2065272331237793
50,0.671875,1.1389530897140503,560,,0.671875,1.1389530897140503
51,0.390625,1.3639376163482666,571,,0.390625,1.3639376163482666
52,0.4375,1.3231754302978516,582,,0.4375,1.3231754302978516
53,0.515625,1.28292715549469,593,,0.515625,1.28292715549469
54,,,599,0.9728280901908875,,
54,0.4140625,1.3286755084991455,604,,0.4140625,1.3286755084991455
55,0.609375,1.2098913192749023,615,,0.609375,1.2098913192749023
56,0.671875,1.1436532735824585,626,,0.671875,1.1436532735824585
57,0.65625,1.1752618551254272,637,,0.65625,1.1752618551254272
58,0.625,1.2336193323135376,648,,0.625,1.2336193323135376
59,,,649,0.9430460929870605,,
59,0.390625,1.3126550912857056,659,,0.390625,1.3126550912857056
60,0.65625,1.1294656991958618,670,,0.65625,1.1294656991958618
61,0.484375,1.3424099683761597,681,,0.484375,1.3424099683761597
62,0.359375,1.3639329671859741,692,,0.359375,1.3639329671859741
63,,,699,0.8756613731384277,,
63,0.46875,1.2836849689483643,703,,0.46875,1.2836849689483643
64,0.46875,1.2372374534606934,714,,0.46875,1.2372374534606934
65,0.5,1.2778053283691406,725,,0.5,1.2778053283691406
66,0.5703125,1.2240906953811646,736,,0.5703125,1.2240906953811646
67,0.640625,1.1441726684570312,747,,0.640625,1.1441726684570312
68,,,749,0.9038509726524353,,
68,0.578125,1.2297930717468262,758,,0.578125,1.2297930717468262
69,0.609375,1.207489013671875,769,,0.609375,1.207489013671875
70,0.6328125,1.1427953243255615,780,,0.6328125,1.1427953243255615
71,0.546875,1.3423676490783691,791,,0.546875,1.3423676490783691
72,,,799,0.9666615128517151,,
72,0.5,1.3350481986999512,802,,0.5,1.3350481986999512
73,0.46875,1.2762643098831177,813,,0.46875,1.2762643098831177
74,0.5390625,1.3024674654006958,824,,0.5390625,1.3024674654006958
75,0.5546875,1.1899733543395996,835,,0.5546875,1.1899733543395996
76,0.59375,1.151750922203064,846,,0.59375,1.151750922203064
77,,,849,0.987079918384552,,
77,0.53125,1.2449581623077393,857,,0.53125,1.2449581623077393
78,0.5859375,1.1284708976745605,868,,0.5859375,1.1284708976745605
79,0.34375,1.3400228023529053,879,,0.34375,1.3400228023529053
80,0.59375,1.1613349914550781,890,,0.59375,1.1613349914550781
81,,,899,0.852489173412323,,
81,0.421875,1.374639868736267,901,,0.421875,1.374639868736267
82,0.40625,1.28030526638031,912,,0.40625,1.28030526638031
83,0.359375,1.3318010568618774,923,,0.359375,1.3318010568618774
84,0.546875,1.2567451000213623,934,,0.546875,1.2567451000213623
85,0.5546875,1.2633646726608276,945,,0.5546875,1.2633646726608276
86,,,949,0.8883815407752991,,
86,0.5234375,1.2338179349899292,956,,0.5234375,1.2338179349899292
87,0.6015625,1.179884672164917,967,,0.6015625,1.179884672164917
88,0.6015625,1.1371824741363525,978,,0.6015625,1.1371824741363525
89,0.5390625,1.220833420753479,989,,0.5390625,1.220833420753479
90,,,999,0.8816189169883728,,
90,0.6640625,1.1781874895095825,1000,,0.6640625,1.1781874895095825
91,0.4453125,1.342176914215088,1011,,0.4453125,1.342176914215088
92,0.5,1.2623910903930664,1022,,0.5,1.2623910903930664
93,0.46875,1.2538381814956665,1033,,0.46875,1.2538381814956665
94,0.21875,1.4714456796646118,1044,,0.21875,1.4714456796646118
95,,,1049,0.8435611724853516,,
95,0.3828125,1.3400543928146362,1055,,0.3828125,1.3400543928146362
96,0.6171875,1.1550496816635132,1066,,0.6171875,1.1550496816635132
97,0.6328125,1.1908361911773682,1077,,0.6328125,1.1908361911773682
98,0.6171875,1.166682481765747,1088,,0.6171875,1.166682481765747
