epoch,step,test_accuracy,train_loss
9,49,0.8984375,0.34423547983169556
19,99,0.96875,0.14621983468532562
29,149,0.97265625,0.14461399614810944
39,199,0.92578125,0.23344792425632477
49,249,0.94921875,0.18571151793003082
59,299,0.9296875,0.20937077701091766
69,349,0.921875,0.2190626859664917
79,399,0.9296875,0.19437843561172485
89,449,0.9140625,0.2590164840221405
99,499,0.921875,0.22426892817020416
