epoch,step,val_reconstruction_loss
0,34,0.8367168307304382
1,69,0.6615493893623352
2,104,0.5389547348022461
3,139,0.45663344860076904
4,174,0.40216264128685
5,209,0.3661738932132721
6,244,0.34433722496032715
7,279,0.33168551325798035
8,314,0.3264433443546295
9,349,0.32486245036125183
10,384,0.3250298798084259
11,419,0.32340022921562195
12,454,0.3178274631500244
13,489,0.3058149814605713
14,524,0.287673681974411
15,559,0.2649137079715729
16,594,0.24085409939289093
17,629,0.2163732498884201
18,664,0.19533653557300568
19,699,0.17531901597976685
20,734,0.15756671130657196
21,769,0.14366674423217773
22,804,0.13184301555156708
23,839,0.12253198772668839
24,874,0.11600630730390549
25,909,0.10995364189147949
26,944,0.10574549436569214
27,979,0.10370573401451111
28,1014,0.10192764550447464
29,1049,0.10156694799661636
30,1084,0.10154375433921814
31,1119,0.1011444553732872
32,1154,0.10057106614112854
33,1189,0.09973887354135513
34,1224,0.09592940658330917
35,1259,0.09288246184587479
36,1294,0.08942767977714539
37,1329,0.08252470940351486
38,1364,0.07867037504911423
39,1399,0.0713898241519928
40,1434,0.06787721067667007
41,1469,0.060430556535720825
42,1504,0.05801604315638542
43,1539,0.053427886217832565
44,1574,0.049752239137887955
45,1609,0.04742733761668205
46,1644,0.04430733993649483
47,1679,0.043036993592977524
48,1714,0.0419793426990509
49,1749,0.04187433421611786
50,1784,0.04178326204419136
51,1819,0.041665829718112946
52,1854,0.04181048274040222
53,1889,0.04089604690670967
54,1924,0.041164468973875046
55,1959,0.03957205265760422
56,1994,0.04040995240211487
57,2029,0.03986978530883789
58,2064,0.03484875336289406
59,2099,0.03317879140377045
60,2134,0.03203883394598961
61,2169,0.029544280841946602
62,2204,0.027135275304317474
63,2239,0.02673921175301075
64,2274,0.02580113150179386
65,2309,0.024244261905550957
66,2344,0.023853853344917297
67,2379,0.023610467091202736
68,2414,0.023253096267580986
69,2449,0.023245200514793396
70,2484,0.02332661859691143
71,2519,0.023278608918190002
72,2554,0.023208515718579292
73,2589,0.023164695128798485
74,2624,0.023045852780342102
75,2659,0.022464072331786156
76,2694,0.02257663570344448
77,2729,0.022015303373336792
78,2764,0.022430172190070152
79,2799,0.02115914784371853
80,2834,0.021763881668448448
81,2869,0.021241577342152596
82,2904,0.023122945800423622
83,2939,0.020564941689372063
84,2974,0.020339740440249443
85,3009,0.022113604471087456
86,3044,0.02050909958779812
87,3079,0.019893014803528786
88,3114,0.020051326602697372
89,3149,0.01996459998190403
90,3184,0.01986061967909336
91,3219,0.019926654174923897
92,3254,0.020043345168232918
93,3289,0.020173806697130203
94,3324,0.020099064335227013
95,3359,0.019632646813988686
96,3394,0.020092254504561424
97,3429,0.020085008814930916
98,3464,0.020113062113523483
99,3499,0.020331889390945435
100,3534,0.020476413890719414
101,3569,0.019938919693231583
102,3604,0.02004496566951275
103,3639,0.022053224965929985
104,3674,0.019990572705864906
105,3709,0.020106328651309013
106,3744,0.019692903384566307
107,3779,0.02006128802895546
108,3814,0.019646793603897095
109,3849,0.01968863233923912
110,3884,0.019719675183296204
111,3919,0.019703509286046028
112,3954,0.019666997715830803
113,3989,0.020053258165717125
