epoch,step,val_reconstruction_loss
0,34,0.09023669362068176
1,69,0.04310417175292969
2,104,0.034075699746608734
3,139,0.03193911537528038
4,174,0.031876061111688614
5,209,0.029861124232411385
6,244,0.029928000643849373
7,279,0.029694823548197746
8,314,0.027687864378094673
9,349,0.030128372833132744
10,384,0.028393303975462914
11,419,0.028670325875282288
12,454,0.02932197041809559
13,489,0.028714628890156746
14,524,0.027843153104186058
15,559,0.027647698298096657
16,594,0.026973271742463112
17,629,0.026869891211390495
18,664,0.026152022182941437
19,699,0.024044713005423546
20,734,0.024131515994668007
21,769,0.02269834280014038
22,804,0.022089386358857155
23,839,0.021447496488690376
24,874,0.02198449708521366
25,909,0.019670682027935982
26,944,0.02023431845009327
