epoch,epoch_val_accuracy,epoch_val_loss,step,train_loss,val_accuracy,val_loss
0,0.25,1.367199182510376,10,,0.25,1.367199182510376
1,0.3046875,1.369753360748291,21,,0.3046875,1.369753360748291
2,0.296875,1.3796064853668213,32,,0.296875,1.3796064853668213
3,0.28125,1.3488470315933228,43,,0.28125,1.3488470315933228
4,,,49,1.2748467922210693,,
4,0.4453125,1.3283883333206177,54,,0.4453125,1.3283883333206177
5,0.3359375,1.3487013578414917,65,,0.3359375,1.3487013578414917
6,0.3828125,1.3308759927749634,76,,0.3828125,1.3308759927749634
7,0.5,1.2977651357650757,87,,0.5,1.2977651357650757
8,0.4375,1.2900152206420898,98,,0.4375,1.2900152206420898
9,,,99,1.1473959684371948,,
9,0.484375,1.3044383525848389,109,,0.484375,1.3044383525848389
10,0.515625,1.2752333879470825,120,,0.515625,1.2752333879470825
11,0.3671875,1.3680908679962158,131,,0.3671875,1.3680908679962158
12,0.359375,1.386623501777649,142,,0.359375,1.386623501777649
13,,,149,1.1426588296890259,,
13,0.390625,1.3110941648483276,153,,0.390625,1.3110941648483276
14,0.375,1.3568328619003296,164,,0.375,1.3568328619003296
15,0.3984375,1.287570595741272,175,,0.3984375,1.287570595741272
16,0.3671875,1.3605190515518188,186,,0.3671875,1.3605190515518188
17,0.421875,1.2952004671096802,197,,0.421875,1.2952004671096802
18,,,199,1.1487668752670288,,
18,0.375,1.3302453756332397,208,,0.375,1.3302453756332397
19,0.421875,1.278745412826538,219,,0.421875,1.278745412826538
20,0.3828125,1.3572725057601929,230,,0.3828125,1.3572725057601929
21,0.359375,1.3683202266693115,241,,0.359375,1.3683202266693115
22,,,249,1.085979700088501,,
22,0.296875,1.3633997440338135,252,,0.296875,1.3633997440338135
23,0.375,1.3397424221038818,263,,0.375,1.3397424221038818
24,0.3515625,1.3677219152450562,274,,0.3515625,1.3677219152450562
25,0.5390625,1.2346924543380737,285,,0.5390625,1.2346924543380737
26,0.5390625,1.242301344871521,296,,0.5390625,1.242301344871521
27,,,299,1.0974347591400146,,
27,0.5390625,1.2631582021713257,307,,0.5390625,1.2631582021713257
28,0.453125,1.2657432556152344,318,,0.453125,1.2657432556152344
29,0.484375,1.2868309020996094,329,,0.484375,1.2868309020996094
30,0.5390625,1.2515524625778198,340,,0.5390625,1.2515524625778198
31,,,349,1.003230333328247,,
31,0.3046875,1.372475504875183,351,,0.3046875,1.372475504875183
32,0.2890625,1.362242579460144,362,,0.2890625,1.362242579460144
33,0.4609375,1.3156464099884033,373,,0.4609375,1.3156464099884033
34,0.453125,1.2998323440551758,384,,0.453125,1.2998323440551758
35,0.4765625,1.252234697341919,395,,0.4765625,1.252234697341919
36,,,399,0.9602185487747192,,
36,0.421875,1.2882717847824097,406,,0.421875,1.2882717847824097
37,0.5859375,1.208223819732666,417,,0.5859375,1.208223819732666
38,0.4140625,1.3120336532592773,428,,0.4140625,1.3120336532592773
39,0.359375,1.339120626449585,439,,0.359375,1.339120626449585
40,,,449,1.1812001466751099,,
40,0.4765625,1.25906503200531,450,,0.4765625,1.25906503200531
41,0.3046875,1.3652540445327759,461,,0.3046875,1.3652540445327759
42,0.3359375,1.3429479598999023,472,,0.3359375,1.3429479598999023
43,0.328125,1.3259549140930176,483,,0.328125,1.3259549140930176
44,0.328125,1.337339162826538,494,,0.328125,1.337339162826538
45,,,499,1.0557761192321777,,
45,0.296875,1.3254265785217285,505,,0.296875,1.3254265785217285
46,0.546875,1.2087693214416504,516,,0.546875,1.2087693214416504
47,0.578125,1.205100655555725,527,,0.578125,1.205100655555725
48,0.4765625,1.2918436527252197,538,,0.4765625,1.2918436527252197
49,,,549,0.9566647410392761,,
49,0.5546875,1.1991959810256958,549,,0.5546875,1.1991959810256958
50,0.5078125,1.2541825771331787,560,,0.5078125,1.2541825771331787
51,0.3125,1.3620834350585938,571,,0.3125,1.3620834350585938
52,0.28125,1.364915132522583,582,,0.28125,1.364915132522583
53,0.3671875,1.3243117332458496,593,,0.3671875,1.3243117332458496
54,,,599,0.8767472505569458,,
54,0.4765625,1.3283692598342896,604,,0.4765625,1.3283692598342896
55,0.46875,1.270076036453247,615,,0.46875,1.270076036453247
56,0.578125,1.2227764129638672,626,,0.578125,1.2227764129638672
57,0.4609375,1.281134843826294,637,,0.4609375,1.281134843826294
58,0.609375,1.1472326517105103,648,,0.609375,1.1472326517105103
59,,,649,1.1384910345077515,,
59,0.46875,1.2803547382354736,659,,0.46875,1.2803547382354736
60,0.46875,1.290476679801941,670,,0.46875,1.290476679801941
61,0.34375,1.3612596988677979,681,,0.34375,1.3612596988677979
62,0.28125,1.3670918941497803,692,,0.28125,1.3670918941497803
63,,,699,0.9643686413764954,,
63,0.2890625,1.3481361865997314,703,,0.2890625,1.3481361865997314
64,0.3203125,1.3735721111297607,714,,0.3203125,1.3735721111297607
65,0.4921875,1.3060461282730103,725,,0.4921875,1.3060461282730103
66,0.421875,1.2872633934020996,736,,0.421875,1.2872633934020996
67,0.4921875,1.2708908319473267,747,,0.4921875,1.2708908319473267
68,,,749,0.9372904300689697,,
68,0.484375,1.277168869972229,758,,0.484375,1.277168869972229
69,0.546875,1.2480442523956299,769,,0.546875,1.2480442523956299
70,0.4296875,1.3251469135284424,780,,0.4296875,1.3251469135284424
71,0.40625,1.3617407083511353,791,,0.40625,1.3617407083511353
72,,,799,0.9178730845451355,,
72,0.40625,1.3636929988861084,802,,0.40625,1.3636929988861084
73,0.359375,1.339241623878479,813,,0.359375,1.339241623878479
74,0.6015625,1.2089664936065674,824,,0.6015625,1.2089664936065674
75,0.5625,1.2292548418045044,835,,0.5625,1.2292548418045044
76,0.59375,1.1974798440933228,846,,0.59375,1.1974798440933228
77,,,849,0.9737750291824341,,
77,0.5546875,1.228729248046875,857,,0.5546875,1.228729248046875
78,0.625,1.1664800643920898,868,,0.625,1.1664800643920898
79,0.609375,1.1772748231887817,879,,0.609375,1.1772748231887817
80,0.5234375,1.247022271156311,890,,0.5234375,1.247022271156311
81,,,899,0.8954888582229614,,
81,0.359375,1.3720922470092773,901,,0.359375,1.3720922470092773
