epoch,epoch_val_accuracy,step,test_accuracy,train_loss,val_accuracy,val_loss
0,0.4791666567325592,21,,,0.4791666567325592,1.1808134317398071
1,0.5364583134651184,43,,,0.5364583134651184,1.1185318231582642
2,,49,0.671875,0.8336548805236816,,
2,0.6145833134651184,65,,,0.6145833134651184,0.9761813282966614
3,0.6458333134651184,87,,,0.6458333134651184,0.8822830319404602
4,,99,0.671875,0.72498619556427,,
4,0.609375,109,,,0.609375,0.9695703983306885
5,0.640625,131,,,0.640625,0.9173979163169861
6,,149,0.78125,0.5918704867362976,,
6,0.6614583134651184,153,,,0.6614583134651184,0.9829316139221191
7,0.65625,175,,,0.65625,0.9383063316345215
8,0.671875,197,,,0.671875,0.86415034532547
9,,199,0.859375,0.4042265713214874,,
9,0.6614583134651184,219,,,0.6614583134651184,0.8911492824554443
10,0.6875,241,,,0.6875,0.8637999892234802
11,,249,0.90625,0.32119229435920715,,
11,0.6822916865348816,263,,,0.6822916865348816,0.8627033829689026
12,0.671875,285,,,0.671875,0.8969895243644714
13,,299,0.90625,0.3360459804534912,,
13,0.703125,307,,,0.703125,0.8561107516288757
14,0.6822916865348816,329,,,0.6822916865348816,0.8750417828559875
15,,349,0.90625,0.3676430583000183,,
15,0.6979166865348816,351,,,0.6979166865348816,0.849646806716919
16,0.6875,373,,,0.6875,0.8569397330284119
17,0.6770833134651184,395,,,0.6770833134651184,0.8724834322929382
18,,399,0.890625,0.3037744462490082,,
18,0.6770833134651184,417,,,0.6770833134651184,0.8874176144599915
19,0.6822916865348816,439,,,0.6822916865348816,0.8902439475059509
20,,449,0.890625,0.32757726311683655,,
20,0.6927083134651184,461,,,0.6927083134651184,0.8829826712608337
21,0.7135416865348816,483,,,0.7135416865348816,0.8565866351127625
22,,499,0.8125,0.39151641726493835,,
22,0.6822916865348816,505,,,0.6822916865348816,0.8649193644523621
23,0.6927083134651184,527,,,0.6927083134651184,0.8782598972320557
24,,549,0.84375,0.40223434567451477,,
24,0.6770833134651184,549,,,0.6770833134651184,0.9055478572845459
25,0.7135416865348816,571,,,0.7135416865348816,0.8844314217567444
26,0.6979166865348816,593,,,0.6979166865348816,0.8924350738525391
27,,599,1.0,0.16999654471874237,,
27,0.6822916865348816,615,,,0.6822916865348816,0.8922820091247559
28,0.703125,637,,,0.703125,0.8683128952980042
29,,649,0.90625,0.29588770866394043,,
29,0.7135416865348816,659,,,0.7135416865348816,0.873295783996582
30,0.703125,681,,,0.703125,0.8618987202644348
31,,699,0.875,0.35812288522720337,,
31,0.6979166865348816,703,,,0.6979166865348816,0.8645527958869934
32,0.6822916865348816,725,,,0.6822916865348816,0.8631286025047302
33,0.7291666865348816,747,,,0.7291666865348816,0.8573277592658997
34,,749,0.875,0.32959556579589844,,
34,0.6875,769,,,0.6875,0.8601765632629395
35,0.6875,791,,,0.6875,0.8961055874824524
36,,799,0.875,0.29941049218177795,,
36,0.6770833134651184,813,,,0.6770833134651184,0.875438928604126
37,0.6979166865348816,835,,,0.6979166865348816,0.8694642186164856
38,,849,0.890625,0.3191988170146942,,
38,0.6875,857,,,0.6875,0.8842084407806396
39,0.7083333134651184,879,,,0.7083333134651184,0.8603354096412659
40,,899,0.921875,0.30866140127182007,,
40,0.6875,901,,,0.6875,0.874973475933075
41,0.6875,923,,,0.6875,0.8701086640357971
42,0.6770833134651184,945,,,0.6770833134651184,0.8747765421867371
43,,949,0.953125,0.23018917441368103,,
43,0.6822916865348816,967,,,0.6822916865348816,0.8738082051277161
44,0.6875,989,,,0.6875,0.8926224708557129
45,,999,0.875,0.34135809540748596,,
45,0.6822916865348816,1011,,,0.6822916865348816,0.8924447894096375
46,0.6875,1033,,,0.6875,0.864377498626709
47,,1049,0.9375,0.2847278118133545,,
47,0.6875,1055,,,0.6875,0.8623135089874268
48,0.6927083134651184,1077,,,0.6927083134651184,0.8777832388877869
49,,1099,0.828125,0.4154568314552307,,
49,0.6979166865348816,1099,,,0.6979166865348816,0.872137725353241
50,0.6875,1121,,,0.6875,0.9012999534606934
51,0.6927083134651184,1143,,,0.6927083134651184,0.8729660511016846
52,,1149,0.953125,0.3156014680862427,,
52,0.6875,1165,,,0.6875,0.8872196078300476
53,0.6770833134651184,1187,,,0.6770833134651184,0.9123064875602722
54,,1199,0.859375,0.33749473094940186,,
54,0.6770833134651184,1209,,,0.6770833134651184,0.9027537703514099
55,0.6875,1231,,,0.6875,0.8914165496826172
56,,1249,0.96875,0.27153345942497253,,
56,0.6822916865348816,1253,,,0.6822916865348816,0.8868148922920227
57,0.703125,1275,,,0.703125,0.86810302734375
58,0.6770833134651184,1297,,,0.6770833134651184,0.8726401329040527
59,,1299,0.921875,0.3393382728099823,,
59,0.703125,1319,,,0.703125,0.9020485877990723
60,0.6822916865348816,1341,,,0.6822916865348816,0.8929593563079834
61,,1349,0.9375,0.26923635601997375,,
61,0.6875,1363,,,0.6875,0.8908100128173828
62,0.671875,1385,,,0.671875,0.8912236094474792
63,,1399,0.953125,0.23767289519309998,,
63,0.6979166865348816,1407,,,0.6979166865348816,0.8485347628593445
