epoch,epoch_val_accuracy,epoch_val_loss,step,train_loss,val_accuracy,val_loss
0,0.34375,3.235811710357666,10,,0.34375,3.235811710357666
1,0.390625,2.338313579559326,21,,0.390625,2.338313579559326
2,0.3515625,3.4722087383270264,32,,0.3515625,3.4722087383270264
3,0.28125,7.59286642074585,43,,0.28125,7.59286642074585
4,,,49,18.71000862121582,,
4,0.4296875,5.974597930908203,54,,0.4296875,5.974597930908203
5,0.4609375,5.4012041091918945,65,,0.4609375,5.4012041091918945
6,0.3828125,8.426412582397461,76,,0.3828125,8.426412582397461
7,0.4921875,6.849898338317871,87,,0.4921875,6.849898338317871
8,0.421875,17.845813751220703,98,,0.421875,17.845813751220703
9,,,99,18.42850685119629,,
9,0.2578125,24.59113121032715,109,,0.2578125,24.59113121032715
10,0.4296875,22.422950744628906,120,,0.4296875,22.422950744628906
11,0.34375,2.8520936965942383,131,,0.34375,2.8520936965942383
12,0.3515625,4.584481716156006,142,,0.3515625,4.584481716156006
13,,,149,28.98097038269043,,
13,0.421875,4.1785759925842285,153,,0.421875,4.1785759925842285
14,0.4609375,5.633258819580078,164,,0.4609375,5.633258819580078
15,0.3515625,10.74409008026123,175,,0.3515625,10.74409008026123
16,0.4296875,10.776741027832031,186,,0.4296875,10.776741027832031
17,0.4140625,33.146484375,197,,0.4140625,33.146484375
18,,,199,43.18320846557617,,
18,0.5,21.350610733032227,208,,0.5,21.350610733032227
19,0.421875,28.573528289794922,219,,0.421875,28.573528289794922
20,0.4140625,28.74094581604004,230,,0.4140625,28.74094581604004
21,0.328125,2.3744897842407227,241,,0.328125,2.3744897842407227
22,,,249,24.1251220703125,,
22,0.328125,3.5357232093811035,252,,0.328125,3.5357232093811035
23,0.3203125,8.462644577026367,263,,0.3203125,8.462644577026367
24,0.3515625,11.94950008392334,274,,0.3515625,11.94950008392334
25,0.5,11.099635124206543,285,,0.5,11.099635124206543
26,0.4765625,14.775833129882812,296,,0.4765625,14.775833129882812
27,,,299,10.230818748474121,,
27,0.4453125,8.52631950378418,307,,0.4453125,8.52631950378418
28,0.3984375,16.794580459594727,318,,0.3984375,16.794580459594727
29,0.3671875,24.86958885192871,329,,0.3671875,24.86958885192871
30,0.3984375,21.63844108581543,340,,0.3984375,21.63844108581543
31,,,349,7.012162685394287,,
31,0.3125,2.460411310195923,351,,0.3125,2.460411310195923
32,0.3515625,3.7145440578460693,362,,0.3515625,3.7145440578460693
33,0.375,4.336904525756836,373,,0.375,4.336904525756836
34,0.3125,15.527173042297363,384,,0.3125,15.527173042297363
35,0.4375,25.05282974243164,395,,0.4375,25.05282974243164
36,,,399,17.803464889526367,,
36,0.4921875,5.407439708709717,406,,0.4921875,5.407439708709717
37,0.453125,9.996610641479492,417,,0.453125,9.996610641479492
38,0.515625,12.552228927612305,428,,0.515625,12.552228927612305
39,0.4296875,16.2887020111084,439,,0.4296875,16.2887020111084
40,,,449,13.224817276000977,,
40,0.546875,13.492515563964844,450,,0.546875,13.492515563964844
41,0.359375,2.6400973796844482,461,,0.359375,2.6400973796844482
42,0.3828125,2.1431663036346436,472,,0.3828125,2.1431663036346436
43,0.3515625,7.916473388671875,483,,0.3515625,7.916473388671875
44,0.4375,4.8464741706848145,494,,0.4375,4.8464741706848145
45,,,499,5.241055965423584,,
45,0.453125,6.445271015167236,505,,0.453125,6.445271015167236
46,0.4140625,21.90595245361328,516,,0.4140625,21.90595245361328
47,0.3203125,14.093076705932617,527,,0.3203125,14.093076705932617
48,0.3515625,23.840831756591797,538,,0.3515625,23.840831756591797
49,,,549,18.83226203918457,,
49,0.5,8.413066864013672,549,,0.5,8.413066864013672
50,0.3671875,20.087696075439453,560,,0.3671875,20.087696075439453
51,0.359375,1.865985631942749,571,,0.359375,1.865985631942749
52,0.359375,2.9411725997924805,582,,0.359375,2.9411725997924805
53,0.328125,3.5179378986358643,593,,0.328125,3.5179378986358643
54,,,599,134.89476013183594,,
54,0.3984375,4.176524639129639,604,,0.3984375,4.176524639129639
55,0.484375,4.848343372344971,615,,0.484375,4.848343372344971
56,0.46875,5.028670310974121,626,,0.46875,5.028670310974121
57,0.515625,4.065224647521973,637,,0.515625,4.065224647521973
58,0.4296875,12.514060020446777,648,,0.4296875,12.514060020446777
59,,,649,3.294642925262451,,
59,0.5234375,5.708172798156738,659,,0.5234375,5.708172798156738
60,0.53125,15.071050643920898,670,,0.53125,15.071050643920898
61,0.328125,2.4719839096069336,681,,0.328125,2.4719839096069336
62,0.390625,3.1335976123809814,692,,0.390625,3.1335976123809814
63,,,699,8.086234092712402,,
63,0.3359375,7.0057053565979,703,,0.3359375,7.0057053565979
64,0.4609375,3.4990293979644775,714,,0.4609375,3.4990293979644775
65,0.453125,8.97274112701416,725,,0.453125,8.97274112701416
66,0.46875,12.532211303710938,736,,0.46875,12.532211303710938
67,0.375,28.146738052368164,747,,0.375,28.146738052368164
68,,,749,30.43976402282715,,
68,0.34375,21.42805290222168,758,,0.34375,21.42805290222168
69,0.3984375,14.795876502990723,769,,0.3984375,14.795876502990723
70,0.4140625,7.436257362365723,780,,0.4140625,7.436257362365723
71,0.3125,3.1487977504730225,791,,0.3125,3.1487977504730225
72,,,799,4.696289539337158,,
72,0.4140625,3.185260772705078,802,,0.4140625,3.185260772705078
73,0.4453125,3.022327423095703,813,,0.4453125,3.022327423095703
74,0.390625,7.6768293380737305,824,,0.390625,7.6768293380737305
75,0.515625,6.656246185302734,835,,0.515625,6.656246185302734
76,0.5078125,4.293171405792236,846,,0.5078125,4.293171405792236
77,,,849,4.738217830657959,,
77,0.4140625,12.923576354980469,857,,0.4140625,12.923576354980469
78,0.375,7.706775665283203,868,,0.375,7.706775665283203
79,0.4765625,4.667466640472412,879,,0.4765625,4.667466640472412
80,0.4921875,5.264585494995117,890,,0.4921875,5.264585494995117
81,,,899,10.33273983001709,,
81,0.3515625,2.060336112976074,901,,0.3515625,2.060336112976074
82,0.34375,2.3928029537200928,912,,0.34375,2.3928029537200928
83,0.4140625,3.8846700191497803,923,,0.4140625,3.8846700191497803
84,0.3671875,4.4516754150390625,934,,0.3671875,4.4516754150390625
85,0.421875,3.9388837814331055,945,,0.421875,3.9388837814331055
86,,,949,3.1006276607513428,,
86,0.3828125,8.843469619750977,956,,0.3828125,8.843469619750977
87,0.4609375,8.492194175720215,967,,0.4609375,8.492194175720215
88,0.4296875,11.591910362243652,978,,0.4296875,11.591910362243652
89,0.5,4.836516380310059,989,,0.5,4.836516380310059
90,,,999,5.256293296813965,,
90,0.4140625,28.584827423095703,1000,,0.4140625,28.584827423095703
91,0.3046875,2.470954656600952,1011,,0.3046875,2.470954656600952
92,0.375,1.8699065446853638,1022,,0.375,1.8699065446853638
93,0.3359375,3.403930187225342,1033,,0.3359375,3.403930187225342
94,0.4453125,4.386631965637207,1044,,0.4453125,4.386631965637207
95,,,1049,8.836236953735352,,
95,0.3671875,6.0775299072265625,1055,,0.3671875,6.0775299072265625
96,0.3671875,9.976217269897461,1066,,0.3671875,9.976217269897461
97,0.40625,11.60813045501709,1077,,0.40625,11.60813045501709
98,0.484375,4.284116744995117,1088,,0.484375,4.284116744995117
