epoch,step,test_accuracy,test_loss,train_loss
9,49,,,12.08364486694336
19,99,,,8.66575813293457
29,149,,,19.568429946899414
39,199,,,7.351345062255859
49,249,,,32.89421844482422
59,299,,,3.991889476776123
69,349,,,4.255359649658203
79,399,,,6.834627151489258
89,449,,,8.037888526916504
99,499,,,4.7807135581970215
109,549,,,11.227219581604004
119,599,,,14.43907356262207
129,649,,,2.4011247158050537
139,699,,,8.059632301330566
149,749,,,6.53996467590332
159,799,,,5.910644054412842
169,849,,,2.5056605339050293
179,899,,,3.8676254749298096
189,949,,,6.4927873611450195
199,999,,,12.450971603393555
209,1049,,,9.678675651550293
219,1099,,,1.6847797632217407
229,1149,,,2.3218932151794434
239,1199,,,3.332834482192993
249,1249,,,1.8611866235733032
259,1299,,,1.7016825675964355
269,1349,,,1.7925851345062256
279,1399,,,2.6061296463012695
289,1449,,,1.55276620388031
299,1499,,,4.970276832580566
309,1549,,,1.6942187547683716
319,1599,,,2.3738412857055664
329,1649,,,1.5293455123901367
339,1699,,,1.6032544374465942
349,1749,,,10.131062507629395
359,1799,,,2.503399133682251
369,1849,,,1.4086718559265137
379,1899,,,8.20425033569336
389,1949,,,1.5054559707641602
399,1999,,,2.2478315830230713
409,2049,,,1.0042381286621094
419,2099,,,0.7683591842651367
429,2149,,,1.0669389963150024
439,2199,,,1.150407314300537
449,2249,,,0.8016761541366577
459,2299,,,2.7495954036712646
469,2349,,,0.8690033555030823
479,2399,,,0.7067258954048157
489,2449,,,0.9574409127235413
499,2499,,,0.716709554195404
509,2549,,,1.0449473857879639
519,2599,,,0.69560307264328
529,2649,,,1.229761004447937
539,2699,,,2.1514034271240234
549,2749,,,0.7588999271392822
559,2799,,,0.709415078163147
569,2849,,,2.9235050678253174
579,2899,,,0.6656196117401123
589,2949,,,2.2984893321990967
599,2999,,,0.5192347764968872
609,3049,,,0.8843590021133423
619,3099,,,0.554940938949585
629,3149,,,1.2689716815948486
639,3199,,,1.2781628370285034
649,3249,,,1.706926941871643
659,3299,,,0.7229752540588379
669,3349,,,0.5576415657997131
679,3399,,,1.695684552192688
689,3449,,,3.011467695236206
699,3499,,,0.6429484486579895
709,3549,,,0.5999131798744202
719,3599,,,0.6831998825073242
729,3649,,,0.6864099502563477
739,3699,,,0.6704773306846619
749,3749,,,1.5320638418197632
759,3799,,,0.5071634650230408
769,3849,,,0.6297199130058289
779,3899,,,0.5418882369995117
789,3949,,,1.2084232568740845
799,3999,,,0.41519784927368164
809,4049,,,0.4276565909385681
819,4099,,,0.5575258731842041
829,4149,,,0.5609506368637085
839,4199,,,3.168044090270996
849,4249,,,0.653026282787323
859,4299,,,1.9215610027313232
869,4349,,,0.4858648180961609
879,4399,,,0.5273616313934326
889,4449,,,1.9229564666748047
899,4499,,,0.719449520111084
899,4499,0.578125,1.1331701278686523,
