epoch,epoch_val_loss,step
0,4.0987935066223145,21
1,3.6524240970611572,43
2,3.662973642349243,65
3,3.644728899002075,87
4,3.755432367324829,109
5,3.803938150405884,131
6,3.421149492263794,153
7,3.4304983615875244,175
8,3.2599945068359375,197
9,3.3565587997436523,219
10,3.4539730548858643,241
11,3.6690235137939453,263
12,3.373253583908081,285
13,3.486180543899536,307
14,3.3612520694732666,329
15,3.437730073928833,351
16,3.3251168727874756,373
17,3.415971040725708,395
18,3.550572156906128,417
19,3.4022090435028076,439
20,3.6081342697143555,461
21,3.393561363220215,483
22,3.245088815689087,505
23,3.489072561264038,527
24,3.3035004138946533,549
25,3.2685134410858154,571
26,3.517385721206665,593
27,3.240598440170288,615
28,3.387882947921753,637
29,3.282853126525879,659
30,3.412893295288086,681
31,3.1299266815185547,703
32,3.6873834133148193,725
33,3.285619020462036,747
34,3.592787742614746,769
35,2.9514636993408203,791
36,3.0142784118652344,813
37,3.3725929260253906,835
38,3.356036424636841,857
39,3.525724411010742,879
40,3.229815721511841,901
41,3.2592849731445312,923
42,3.4099063873291016,945
43,3.153109312057495,967
44,3.2955939769744873,989
45,3.2903366088867188,1011
46,3.214972496032715,1033
47,3.3981564044952393,1055
48,3.1873092651367188,1077
49,3.131093978881836,1099
50,3.188340902328491,1121
51,3.323953628540039,1143
52,3.3008499145507812,1165
53,3.4027364253997803,1187
54,3.067035675048828,1209
55,3.375086545944214,1231
56,3.0822536945343018,1253
57,3.333974599838257,1275
58,3.229036331176758,1297
59,3.335891008377075,1319
60,3.049422264099121,1341
61,2.9222686290740967,1363
62,3.2275617122650146,1385
63,3.1469593048095703,1407
64,3.278689384460449,1429
65,3.441798448562622,1451
66,3.1231720447540283,1473
67,3.2895452976226807,1495
68,3.084017515182495,1517
69,3.1155903339385986,1539
70,3.155327796936035,1561
71,3.3620688915252686,1583
72,3.1659860610961914,1605
73,3.173011541366577,1627
74,3.300428628921509,1649
75,3.316370964050293,1671
76,3.2937214374542236,1693
77,3.1640758514404297,1715
78,3.1363937854766846,1737
79,3.0385971069335938,1759
80,3.3049697875976562,1781
81,3.1192057132720947,1803
82,3.2724592685699463,1825
83,3.2392826080322266,1847
84,3.074854612350464,1869
85,2.8768723011016846,1891
86,3.0813872814178467,1913
87,3.22408127784729,1935
88,3.2408950328826904,1957
89,3.2092506885528564,1979
90,3.0594727993011475,2001
91,2.9164211750030518,2023
92,3.0488693714141846,2045
93,3.312330484390259,2067
94,3.3406572341918945,2089
95,3.1451809406280518,2111
96,3.2198314666748047,2133
97,3.062974214553833,2155
98,3.1595089435577393,2177
99,3.2014541625976562,2199
100,3.15156626701355,2221
101,3.1028130054473877,2243
102,3.251955986022949,2265
103,3.2019202709198,2287
104,3.2052364349365234,2309
105,3.170241594314575,2331
106,2.8864307403564453,2353
107,3.042811393737793,2375
108,3.1822779178619385,2397
109,2.8227224349975586,2419
110,3.250126600265503,2441
111,3.4250564575195312,2463
112,3.1097450256347656,2485
113,3.0000083446502686,2507
114,3.102034568786621,2529
115,3.353656053543091,2551
116,3.2378196716308594,2573
117,3.314953565597534,2595
118,3.047236442565918,2617
119,3.0108959674835205,2639
120,3.19547963142395,2661
121,3.348658800125122,2683
122,3.1114797592163086,2705
123,3.260272264480591,2727
124,3.370981454849243,2749
125,3.055529832839966,2771
126,3.5895767211914062,2793
127,3.1358726024627686,2815
128,3.5621578693389893,2837
129,3.396594762802124,2859
130,3.29758358001709,2881
131,2.9839560985565186,2903
132,3.37872052192688,2925
133,3.433819055557251,2947
134,3.039846658706665,2969
135,3.100518226623535,2991
136,3.2197935581207275,3013
137,3.4026591777801514,3035
138,3.0931129455566406,3057
139,3.202792167663574,3079
